ID_CLIENTE,SAFRA_REF,INADIMPLENTE
1661240395903230676,2021-07-01,0.1
1661240395903230676,2021-07-01,0.1
1661240395903230676,2021-07-01,0.12
1661240395903230676,2021-07-01,0.1
1661240395903230676,2021-07-01,0.1
1661240395903230676,2021-07-01,0.09
1661240395903230676,2021-07-01,0.1
1661240395903230676,2021-07-01,0.13
1661240395903230676,2021-08-01,0.33
1661240395903230676,2021-09-01,0.17
1661240395903230676,2021-09-01,0.17
1661240395903230676,2021-10-01,0.08
1661240395903230676,2021-10-01,0.08
1661240395903230676,2021-10-01,0.13
1661240395903230676,2021-11-01,0.1
1661240395903230676,2021-11-01,0.09
1661240395903230676,2021-11-01,0.1
1661240395903230676,2021-11-01,0.09
1661240395903230676,2021-11-01,0.1
8274986328479596038,2021-11-01,0.26
345447888460137901,2021-08-01,0.31
345447888460137901,2021-09-01,0.31
1003144834589372198,2021-07-01,0.11
1003144834589372198,2021-07-01,0.12
1003144834589372198,2021-07-01,0.05
1003144834589372198,2021-07-01,0.06
1003144834589372198,2021-07-01,0.06
1003144834589372198,2021-08-01,0.1
1003144834589372198,2021-08-01,0.08
1003144834589372198,2021-08-01,0.08
1003144834589372198,2021-08-01,0.07
1003144834589372198,2021-08-01,0.07
1003144834589372198,2021-08-01,0.08
1003144834589372198,2021-08-01,0.08
1003144834589372198,2021-08-01,0.08
1003144834589372198,2021-09-01,0.08
1003144834589372198,2021-09-01,0.07
1003144834589372198,2021-09-01,0.15
1003144834589372198,2021-09-01,0.06
1003144834589372198,2021-09-01,0.19
1003144834589372198,2021-09-01,0.17
1003144834589372198,2021-10-01,0.2
1003144834589372198,2021-10-01,0.19
1003144834589372198,2021-10-01,0.19
1003144834589372198,2021-10-01,0.22
1003144834589372198,2021-10-01,0.19
1003144834589372198,2021-10-01,0.09
1003144834589372198,2021-10-01,0.03
1003144834589372198,2021-10-01,0.05
1003144834589372198,2021-10-01,0.03
1003144834589372198,2021-10-01,0.09
1003144834589372198,2021-10-01,0.05
1003144834589372198,2021-11-01,0.04
1003144834589372198,2021-11-01,0.05
1003144834589372198,2021-11-01,0.08
1003144834589372198,2021-11-01,0.04
1003144834589372198,2021-11-01,0.07
1003144834589372198,2021-11-01,0.06
1003144834589372198,2021-11-01,0.07
1003144834589372198,2021-11-01,0.06
1003144834589372198,2021-11-01,0.08
324916756972236008,2021-07-01,0.32
324916756972236008,2021-07-01,0.64
324916756972236008,2021-07-01,0.28
324916756972236008,2021-07-01,0.32
324916756972236008,2021-07-01,0.28
324916756972236008,2021-07-01,0.28
324916756972236008,2021-07-01,0.33
324916756972236008,2021-08-01,0.32
324916756972236008,2021-08-01,0.38
324916756972236008,2021-08-01,0.32
324916756972236008,2021-08-01,0.57
324916756972236008,2021-08-01,0.26
324916756972236008,2021-08-01,0.37
324916756972236008,2021-09-01,0.36
324916756972236008,2021-09-01,0.36
324916756972236008,2021-09-01,0.36
324916756972236008,2021-09-01,0.4
324916756972236008,2021-09-01,0.37
324916756972236008,2021-09-01,0.36
324916756972236008,2021-09-01,0.32
324916756972236008,2021-10-01,0.18
324916756972236008,2021-10-01,0.29
324916756972236008,2021-10-01,0.23
324916756972236008,2021-10-01,0.25
324916756972236008,2021-10-01,0.22
324916756972236008,2021-11-01,0.12
324916756972236008,2021-11-01,0.06
324916756972236008,2021-11-01,0.14
324916756972236008,2021-11-01,0.14
324916756972236008,2021-11-01,0.16
4679462479444735708,2021-07-01,0.27
4679462479444735708,2021-07-01,0.22
4679462479444735708,2021-07-01,0.25
4679462479444735708,2021-07-01,0.25
4679462479444735708,2021-07-01,0.25
4679462479444735708,2021-07-01,0.27
4679462479444735708,2021-07-01,0.25
4679462479444735708,2021-07-01,0.27
4679462479444735708,2021-07-01,0.27
4679462479444735708,2021-07-01,0.25
4679462479444735708,2021-07-01,0.27
4679462479444735708,2021-07-01,0.27
4679462479444735708,2021-08-01,0.68
4679462479444735708,2021-08-01,0.16
4679462479444735708,2021-08-01,0.14
4679462479444735708,2021-08-01,0.13
4679462479444735708,2021-08-01,0.15
4679462479444735708,2021-08-01,0.16
4679462479444735708,2021-08-01,0.12
4679462479444735708,2021-08-01,0.12
4679462479444735708,2021-08-01,0.12
4679462479444735708,2021-08-01,0.12
4679462479444735708,2021-08-01,0.12
4679462479444735708,2021-08-01,0.14
4679462479444735708,2021-08-01,0.14
4679462479444735708,2021-09-01,0.13
4679462479444735708,2021-09-01,0.13
4679462479444735708,2021-09-01,0.11
4679462479444735708,2021-09-01,0.13
4679462479444735708,2021-09-01,0.13
4679462479444735708,2021-09-01,0.11
4679462479444735708,2021-09-01,0.14
4679462479444735708,2021-10-01,0.19
4679462479444735708,2021-10-01,0.18
4679462479444735708,2021-10-01,0.17
4679462479444735708,2021-10-01,0.19
4679462479444735708,2021-10-01,0.19
4679462479444735708,2021-10-01,0.64
4679462479444735708,2021-10-01,0.19
4679462479444735708,2021-11-01,0.55
4679462479444735708,2021-11-01,0.55
4679462479444735708,2021-11-01,0.62
4679462479444735708,2021-11-01,0.65
4679462479444735708,2021-11-01,0.62
1276604410881911401,2021-07-01,0.35
1276604410881911401,2021-07-01,0.35
1276604410881911401,2021-07-01,0.51
1276604410881911401,2021-07-01,0.51
1276604410881911401,2021-07-01,0.51
1276604410881911401,2021-07-01,0.35
1276604410881911401,2021-07-01,0.51
1276604410881911401,2021-07-01,0.35
1276604410881911401,2021-07-01,0.34
1276604410881911401,2021-07-01,0.34
1276604410881911401,2021-07-01,0.37
1276604410881911401,2021-07-01,0.51
1276604410881911401,2021-07-01,0.37
1276604410881911401,2021-07-01,0.38
1276604410881911401,2021-07-01,0.37
1276604410881911401,2021-08-01,0.29
1276604410881911401,2021-08-01,0.39
1276604410881911401,2021-08-01,0.29
1276604410881911401,2021-08-01,0.39
1276604410881911401,2021-08-01,0.39
1276604410881911401,2021-08-01,0.29
1276604410881911401,2021-08-01,0.29
1276604410881911401,2021-08-01,0.39
1276604410881911401,2021-08-01,0.29
1276604410881911401,2021-08-01,0.4
1276604410881911401,2021-08-01,0.28
1276604410881911401,2021-08-01,0.4
1276604410881911401,2021-08-01,0.4
1276604410881911401,2021-08-01,0.28
1276604410881911401,2021-08-01,0.4
1276604410881911401,2021-08-01,0.4
1276604410881911401,2021-08-01,0.4
1276604410881911401,2021-08-01,0.4
1276604410881911401,2021-08-01,0.28
1276604410881911401,2021-08-01,0.28
1276604410881911401,2021-08-01,0.4
1276604410881911401,2021-09-01,0.32
1276604410881911401,2021-09-01,0.31
1276604410881911401,2021-09-01,0.48
1276604410881911401,2021-09-01,0.48
1276604410881911401,2021-09-01,0.32
1276604410881911401,2021-09-01,0.48
1276604410881911401,2021-09-01,0.33
1276604410881911401,2021-09-01,0.29
1276604410881911401,2021-09-01,0.29
1276604410881911401,2021-09-01,0.44
1276604410881911401,2021-09-01,0.29
1276604410881911401,2021-09-01,0.44
1276604410881911401,2021-09-01,0.44
1276604410881911401,2021-10-01,0.2
